StudentID,Age,email,hrsStudy,FinalGrade
47412,20,s47412@oslomet.no,5,46
15077,22,s15077@oslomet.no,0,65
15467,27,s15467@oslomet.no,1,26
17907,21,s17907@oslomet.no,6,68
13352,333,s13352@oslomet.no,4,34
88403,29,s88403@oslomet.no,11,62
56387,32,s56387@oslomet.no,9,29
95648,23,s95648@oslomet.no,3,38
63176,20,s63176@oslomet.no,0,98
15406,31,s15406@oslomet.no,2,68
41908,24,s41908@oslomet.no,0,62
35600,30,s35600@oslomet.no,11,70
16171,25,s16171@oslomet.no,10,81
55586,24,s55586@oslomet.no,7,31
71505,23,s71505@oslomet.no,1,49
31235,33,s31235@oslomet.no,1,72
80811,21,s80811@oslomet.no,6,51
33041,21,s33041@oslomet.no,2,97
99823,23,s99823@oslomet.no,10,56
41092,33,s41092@oslomet.no,10,42
15976,32,s15976@oslomet.no,9,78
91520,33,s91520@oslomet.no,9,60
11758,33,s11758@oslomet.no,6,54
67086,22,s67086@oslomet.no,10,51
84127,20,s84127@oslomet.no,5,92
59109,32,s59109@oslomet.no,7,97
10736,2,s10736@oslomet.no,10,
71581,25,s71581@oslomet.no,9,26
29254,22,s29254@oslomet.no,10,88
20161,22,s20161@oslomet.no,11,90
21523,31,s21523@oslomet.no, ,51
66815,21,s66815@oslomet.no,8,35
26914,31,s26914@oslomet.no,9,93
58153,220,s58153@oslomet.no,10,35
58387,20,s58387@oslomet.no,9,673
44561,28,s44561@oslomet.no,10,78
84163,25,s84163@oslomet.no,7,71
26584,27,s26584@oslomet.no,10,31
74289,31,s74289@oslomet.no,6,45
30158,21,s30158@oslomet.no,3,37
25452,24,s25452@oslomet.no,10,41
92390, ,s92390@oslomet.no,2,35
83390,22,s83390@oslomet.no,7,88
32946,31,s32946@oslomet.no,10,24
44023,31,s44023@oslomet.no,6,83
62039,23,s62039@oslomet.no,4,46
42989,27,s42989@oslomet.no,0,80
85370,29,s85370@oslomet.no,2,77
63135,26,s63135@oslomet.no,9,39
28895,19,s28895@oslomet.no,10,68
